,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
61,male,group A,some high school,free/reduced,none,39,39,34
309,female,group D,high school,free/reduced,none,49,57,52
843,male,group B,some college,free/reduced,completed,74,77,76
964,male,group D,some college,standard,none,72,57,58
333,male,group B,associate's degree,standard,none,90,78,81
150,male,group A,some high school,standard,completed,62,67,69
420,female,group C,associate's degree,free/reduced,completed,82,93,93
165,female,group C,bachelor's degree,standard,completed,96,100,100
377,female,group D,master's degree,free/reduced,completed,85,95,100
355,female,group B,bachelor's degree,standard,none,61,72,70
738,male,group D,associate's degree,standard,none,81,71,73
944,female,group B,high school,standard,none,58,68,61
433,female,group A,some high school,free/reduced,none,47,59,50
484,female,group B,associate's degree,standard,none,49,52,54
266,female,group C,bachelor's degree,standard,none,63,75,81
611,female,group C,some college,standard,none,58,59,66
206,male,group E,bachelor's degree,standard,none,82,62,62
719,male,group E,associate's degree,free/reduced,completed,91,73,80
470,female,group C,associate's degree,standard,completed,83,85,90
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
500,female,group D,master's degree,standard,none,74,79,82
877,male,group C,some high school,standard,none,57,61,54
384,female,group A,some high school,free/reduced,none,38,43,43
569,male,group D,bachelor's degree,free/reduced,none,68,68,67
287,female,group B,some high school,standard,none,67,89,82
616,female,group E,bachelor's degree,standard,none,37,45,38
974,female,group A,some college,standard,none,54,63,67
265,male,group D,some high school,free/reduced,none,59,42,41
232,female,group B,bachelor's degree,standard,none,67,86,83
645,female,group B,bachelor's degree,standard,completed,65,81,81
486,male,group D,some college,free/reduced,none,61,47,56
708,male,group D,high school,standard,none,89,87,79
244,male,group D,some high school,standard,none,75,74,69
175,female,group C,master's degree,standard,completed,81,91,87
714,female,group B,some high school,standard,completed,60,70,74
758,female,group D,some college,free/reduced,completed,52,59,65
77,male,group A,bachelor's degree,standard,completed,80,78,81
67,female,group C,some college,standard,none,60,72,74
397,female,group C,associate's degree,standard,none,85,89,95
842,female,group B,high school,free/reduced,completed,23,44,36
114,female,group E,bachelor's degree,standard,completed,99,100,100
881,female,group E,bachelor's degree,standard,completed,71,70,70
729,male,group C,some college,standard,none,53,39,37
774,male,group B,some college,standard,none,66,65,60
183,female,group D,associate's degree,standard,none,65,69,70
314,female,group C,bachelor's degree,standard,completed,59,64,75
294,male,group D,high school,free/reduced,completed,78,77,80
553,male,group D,some college,free/reduced,none,77,62,64
429,male,group C,some high school,free/reduced,none,68,63,54
7,male,group B,some college,free/reduced,none,40,43,39
286,male,group E,associate's degree,standard,completed,97,82,88
659,male,group D,associate's degree,standard,none,90,87,85
358,male,group D,some college,free/reduced,none,59,62,61
760,female,group C,high school,free/reduced,none,53,72,64
53,male,group D,high school,standard,none,88,78,75
304,female,group C,associate's degree,standard,completed,74,75,83
318,male,group B,bachelor's degree,standard,none,63,71,69
59,female,group C,some high school,free/reduced,none,0,17,10
548,female,group C,high school,free/reduced,none,62,67,64
934,male,group C,associate's degree,standard,completed,98,87,90
191,male,group D,some college,standard,completed,76,83,79
303,male,group B,associate's degree,standard,none,80,76,64
257,male,group C,associate's degree,standard,completed,78,77,77
363,female,group D,some high school,free/reduced,none,27,34,32
560,female,group D,some college,standard,completed,74,75,79
143,male,group A,high school,standard,none,57,43,47
6,female,group B,some college,standard,completed,88,95,92
609,female,group B,associate's degree,standard,none,58,63,65
734,female,group E,some college,free/reduced,none,53,58,57
319,female,group D,associate's degree,free/reduced,none,56,65,63
69,female,group C,associate's degree,standard,none,39,64,57
838,male,group B,associate's degree,free/reduced,completed,58,57,53
83,male,group E,associate's degree,standard,none,72,64,63
998,female,group D,some college,standard,completed,68,78,77
176,female,group B,high school,free/reduced,completed,46,54,58
561,female,group C,some college,standard,none,63,74,74
850,male,group C,master's degree,standard,none,71,67,67
702,male,group A,bachelor's degree,standard,completed,87,84,87
732,female,group C,some college,standard,completed,87,89,94
590,male,group C,some college,free/reduced,none,58,57,54
444,male,group A,some high school,free/reduced,none,79,82,73
923,female,group B,associate's degree,free/reduced,none,54,65,65
136,male,group B,some high school,standard,completed,51,54,41
421,female,group D,high school,standard,completed,57,58,64
194,female,group C,master's degree,standard,completed,69,84,85
456,female,group D,bachelor's degree,standard,none,79,89,89
468,female,group A,high school,free/reduced,completed,77,88,85
878,female,group D,some high school,standard,none,59,72,80
227,male,group D,high school,standard,none,57,50,54
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
634,male,group D,some high school,standard,none,84,84,80
368,female,group A,some high school,free/reduced,none,44,64,58
448,male,group B,high school,standard,none,47,46,42
327,male,group A,some college,free/reduced,none,28,23,19
512,male,group D,some high school,free/reduced,none,62,49,52
125,female,group B,high school,standard,none,87,95,86
975,female,group C,some college,standard,completed,64,82,77
863,female,group C,some college,standard,completed,71,71,80
119,female,group C,some college,standard,none,55,69,65
849,male,group D,associate's degree,standard,none,80,75,69
338,female,group B,some high school,free/reduced,none,24,38,27
777,female,group C,some college,free/reduced,none,35,44,43
473,female,group D,some high school,standard,none,59,67,61
200,female,group C,associate's degree,standard,completed,67,84,86
228,male,group A,some high school,free/reduced,none,68,72,64
505,female,group B,some high school,standard,none,82,82,80
921,female,group C,high school,free/reduced,none,35,53,46
618,male,group D,master's degree,standard,none,95,81,84
916,male,group E,bachelor's degree,standard,completed,100,100,100
326,male,group C,some college,standard,none,61,61,62
462,female,group E,some college,standard,none,71,70,76
488,male,group B,some high school,standard,completed,64,53,57
519,female,group B,high school,free/reduced,completed,67,78,79
699,male,group C,high school,free/reduced,none,66,66,59
76,male,group E,some high school,standard,none,30,26,22
481,female,group D,associate's degree,free/reduced,none,52,59,56
147,male,group C,associate's degree,free/reduced,none,73,68,66
398,male,group B,some high school,standard,none,74,63,57
496,female,group C,some college,standard,none,54,48,52
129,female,group A,bachelor's degree,standard,none,51,49,51
463,female,group C,some college,free/reduced,none,77,90,91
873,male,group E,associate's degree,free/reduced,none,90,90,82
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
78,female,group D,some high school,standard,completed,61,74,72
126,male,group B,some high school,standard,none,72,68,67
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
256,female,group C,associate's degree,free/reduced,none,64,73,68
159,male,group D,associate's degree,free/reduced,none,66,62,64
563,female,group D,some college,free/reduced,completed,63,80,80
442,female,group A,some high school,free/reduced,none,59,73,69
189,female,group C,bachelor's degree,standard,none,77,88,87
502,male,group C,some college,free/reduced,none,63,61,54
893,male,group D,some high school,standard,completed,88,74,75
654,female,group B,some high school,standard,none,73,79,79
198,female,group B,some college,free/reduced,none,45,53,55
793,male,group E,some high school,standard,completed,89,84,77
718,female,group C,high school,standard,none,76,76,74
914,female,group B,associate's degree,free/reduced,none,46,61,55
336,male,group D,some high school,standard,completed,76,70,69
866,male,group C,high school,free/reduced,none,59,53,52
762,male,group D,some high school,standard,completed,78,81,86
187,male,group D,some high school,standard,completed,62,66,68
337,male,group C,associate's degree,standard,none,49,51,43
466,female,group D,associate's degree,free/reduced,none,26,31,38
852,female,group E,some college,standard,none,87,85,93
580,female,group D,some high school,standard,none,81,97,96
235,male,group D,associate's degree,standard,none,80,75,77
105,female,group C,some college,standard,none,58,67,72
98,female,group D,some college,free/reduced,none,58,67,62
178,female,group B,master's degree,free/reduced,completed,52,70,62
203,female,group B,associate's degree,standard,none,57,69,68
811,male,group A,high school,free/reduced,none,45,47,49
477,male,group D,associate's degree,standard,none,80,68,72
499,male,group E,some college,standard,none,76,71,72
907,female,group D,some college,standard,completed,79,84,91
879,female,group D,associate's degree,standard,none,64,76,74
152,female,group B,associate's degree,standard,completed,59,70,66
173,female,group C,associate's degree,standard,none,63,67,70
562,male,group C,bachelor's degree,standard,completed,96,90,92
573,female,group C,high school,free/reduced,completed,50,66,64
931,male,group D,some college,free/reduced,none,62,57,62
586,female,group A,high school,standard,none,55,73,73
229,female,group C,some college,standard,completed,88,95,94
306,male,group E,some college,standard,completed,99,87,81
211,male,group C,some college,free/reduced,none,35,28,27
720,female,group C,some college,free/reduced,none,62,72,70
926,male,group E,associate's degree,free/reduced,none,64,56,52
489,male,group A,associate's degree,free/reduced,completed,79,82,82
574,female,group E,high school,standard,none,74,81,71
350,female,group B,bachelor's degree,standard,none,52,65,69
622,male,group C,high school,free/reduced,completed,58,51,52
902,female,group A,high school,free/reduced,completed,34,48,41
983,female,group A,some college,standard,completed,78,87,91
64,female,group D,some high school,standard,none,59,58,59
751,male,group E,some college,standard,none,68,72,65
90,female,group C,bachelor's degree,standard,none,65,72,74
221,male,group B,associate's degree,standard,none,87,85,73
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
669,male,group D,associate's degree,standard,completed,81,72,77
474,female,group B,associate's degree,standard,completed,90,90,91
120,female,group C,bachelor's degree,standard,completed,79,92,89
395,male,group A,high school,free/reduced,none,48,45,41
62,male,group A,associate's degree,free/reduced,none,62,61,55
779,male,group E,associate's degree,standard,completed,94,85,82
589,female,group A,some high school,standard,none,48,66,65
166,male,group C,high school,free/reduced,completed,53,51,51
249,male,group C,high school,standard,none,68,60,53
965,female,group D,some college,standard,none,62,70,72
185,male,group C,associate's degree,free/reduced,completed,65,67,65
100,male,group B,some college,standard,none,79,67,67
612,male,group C,bachelor's degree,standard,completed,94,90,91
434,male,group C,some high school,standard,none,73,66,66
650,male,group C,some high school,free/reduced,completed,51,56,53
594,female,group C,bachelor's degree,standard,completed,92,100,99
554,male,group E,associate's degree,standard,none,53,45,40
792,male,group D,high school,free/reduced,none,66,74,69
35,male,group E,associate's degree,standard,completed,81,81,79
418,male,group D,some college,standard,none,68,59,62
577,female,group B,high school,standard,none,81,91,89
259,female,group C,master's degree,free/reduced,completed,65,81,81
465,female,group C,some college,standard,none,84,87,91
651,female,group A,high school,standard,completed,68,80,76
4,male,group C,some college,standard,none,76,78,75
9,female,group B,high school,free/reduced,none,38,60,50
234,male,group C,bachelor's degree,standard,completed,83,82,84
771,male,group D,bachelor's degree,standard,none,75,73,74
601,female,group C,high school,standard,none,29,29,30
510,male,group D,some college,standard,none,76,71,73
71,male,group D,some college,standard,completed,63,55,63
252,female,group B,some high school,standard,completed,60,70,70
403,female,group D,high school,standard,completed,88,99,100
88,female,group A,some college,standard,none,58,70,67
958,female,group D,high school,standard,none,45,63,59
892,female,group A,master's degree,free/reduced,none,50,67,73
310,female,group B,associate's degree,standard,none,73,76,80
901,female,group C,master's degree,standard,none,73,78,74
555,female,group C,some college,free/reduced,none,32,39,33
727,male,group E,some high school,standard,completed,68,51,57
